title,rate,num,info,director,actor,time,country,type
哈利·波特与死亡圣器(下),9.0,821354人,10年的完美句点。,大卫·叶茨DavidYates,丹尼尔·雷德克里夫DanielRadcliffe,2011,美国,奇幻
沉默的羔羊,8.9,879678人,安东尼·霍普金斯的顶级表演。,乔纳森·戴米JonathanDemme,朱迪·福斯特JodieFoster,1991,美国,剧情
布达佩斯大饭店,8.9,921208人,小清新的故事里注入了大历史的情怀。,韦斯·安德森WesAnderson,拉尔夫·费因斯RalphFiennes,2014,美国,剧情
禁闭岛,8.9,964523人,昔日翩翩少年，今日大腹便便。,MartinScorsese,莱昂纳多·迪卡普里奥LeonardoDiCaprio,2010,美国,剧情
蝴蝶效应,8.9,927548人,人的命运被自己瞬间的抉择改变。,埃里克·布雷斯EricBress,演职人员不详,2004,美国,剧情
致命魔术,8.9,847862人,孪生蝙蝠侠大战克隆金刚狼。,克里斯托弗·诺兰ChristopherNolan,休·杰克曼HughJackman,2006,英国,剧情
功夫,8.8,1115898人,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,周星驰StephenChow,周星驰StephenChow,2004,中国大陆,动作
心灵捕手,8.9,705583人,人生中应该拥有这样的一段豁然开朗。,格斯·范·桑特GusVanSant,马特·达蒙MattDamon,1997,美国,剧情
海豚湾,9.3,354923人,海豚的微笑，是世界上最高明的伪装。,路易·西霍尤斯LouiePsihoyos,路易·西霍尤斯LouiePsihoyo,2009,美国,纪录片
哈利·波特与阿兹卡班的囚徒,8.9,718181人,不一样的导演，不一样的哈利·波特。,AlfonsoCuarón,丹尼尔·雷德克里夫DanielRadcliffe,2004,英国,奇幻
低俗小说,8.9,826305人,故事的高级讲法。,昆汀·塔伦蒂诺QuentinTarantino,约翰·特拉沃尔塔JohnTra,1994,美国,剧情
春光乍泄,9.0,626998人,爱情纠缠，男女一致。,王家卫KarWaiWong,张国荣LeslieCheung,1997,中国香港,剧情
美国往事,9.2,407870人,往事如烟，无处祭奠。,赛尔乔·莱翁内SergioLeone,罗伯特·德尼罗RobertDeNiro,1984,美国,犯罪
超脱,9.0,590879人,穷尽一生，我们要学会的，不过是彼此拥抱。,托尼·凯耶TonyKaye,艾德里安·布洛迪AdrienBrody,2011,美国,剧情
摩登时代,9.3,297549人,大时代中的人生，小人物的悲喜。,查理·卓别林CharlesChaplin,查理·卓别林CharlesChaplin,1936,美国,剧情
喜剧之王,8.8,960674人,我是一个演员。,周星驰StephenChow,周星驰StephenCh,1999,中国香港,喜剧
致命ID,8.9,815086人,最不可能的那个人永远是最可能的。,詹姆斯·曼高德JamesMangold,约翰·库萨克JohnCusack,2003,美国,剧情
